id,filename,n_blocks,population,generations,mode,fitness,params_mb,params,flops,total_conv_fc_flops,acts,op_codes,width_codes,test_acc_top1
18f54352,search_nblk10_lpop10_lgen2__layer_ea.json,10,10,2,layer_ea,1651439.0,0.304794,304794,94638336,89141504,2397250,"[6, 6, 14, 6, 15, 15, 2, 1, 13, 5]","[2, 2, 1, 2, 2, 2, 2]",
2002c7fa,search_nblk10_lpop16_lgen2__layer_ea.json,10,16,2,layer_ea,1547869.0,0.37241,372410,109073984,103339584,2466822,"[5, 15, 15, 15, 6, 13, 6, 12, 12, 7]","[2, 0, 2, 2, 2, 2, 2]",
e4190385,search_nblk5_lpop5_lgen2__layer_ea.json,5,5,2,layer_ea,1498796.0,0.08601,86010,78637056,72968192,2310154,"[6, 14, 14, 14, 10]","[2, 2, 2, 2, 2, 2, 2]",
882079c2,search_nblk20_pop16_gen100__global_ea.json,20,16,100,global_ea,2767858.0,2.428906,2428906,264696576,256305920,3707338,"[15, 4, 7, 15, 7, 8, 2, 14, 7, 14, 4, 4, 7, 6, 10, 14, 5, 5, 8, 8]","[0, 2, 2, 2, 2, 2, 1]",
4014ea7a,search_nblk15_lpop20_lgen2__layer_ea.json,15,20,2,layer_ea,1390823.0,0.634666,634666,125261184,119490944,2518150,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8, 6, 14, 7, 7, 8]","[0, 0, 2, 0, 1, 0, 2]",
c2865386,search_nblk10_lpop20_lgen2__layer_ea.json,10,20,2,layer_ea,1155005.0,0.157602,157602,68329088,63880832,1868366,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8]","[0, 0, 2, 0, 2, 2, 2]",81.78
7b4508df,search_nblk20_lpop16_lgen12__layer_ea.json,20,16,12,layer_ea,2680575.0,2.732338,2732338,347051920,337108880,4554240,"[6, 15, 15, 7, 15, 14, 7, 13, 14, 14, 7, 14, 14, 6, 5, 3, 14, 4, 14, 14]","[2, 1, 2, 2, 2, 2, 1]",
9ee9af52,search_nblk10_lpop5_lgen4__layer_ea.json,10,5,4,layer_ea,1456889.0,0.358922,358922,101343360,95797376,2487262,"[6, 14, 12, 15, 14, 6, 6, 0, 7, 13]","[2, 2, 1, 2, 2, 2, 2]",
716bcf41,search_nblk20_lpop20_lgen2__layer_ea.json,20,20,2,layer_ea,1573873.0,0.911306,911306,142573184,136516224,2656590,"[13, 10, 13, 14, 13, 15, 14, 14, 9, 8, 6, 14, 7, 7, 8, 9, 1, 14, 16, 4]","[0, 0, 2, 0, 1, 0, 0]",84.28
3f893b42,search_nblk15_lpop10_lgen4__layer_ea.json,15,10,4,layer_ea,2490883.0,1.388266,1388266,213381248,205497472,3517006,"[7, 12, 7, 6, 4, 13, 6, 7, 12, 15, 13, 7, 14, 12, 7]","[2, 2, 1, 2, 2, 1, 2]",
d1be7c57,search_nblk10_lpop16_lgen8__layer_ea.json,10,16,8,layer_ea,1391500.0,0.308106,308106,76245192,71186632,2159817,"[6, 7, 14, 7, 12, 15, 15, 15, 14, 7]","[2, 1, 0, 1, 2, 2, 2]",
fa5c9747,search_nblk5_pop16_gen50__global_ea.json,5,16,50,global_ea,1985621.0,0.096554,96554,68516096,62519552,2326898,"[4, 12, 14, 15, 7]","[2, 2, 1, 0, 1, 0, 0]",
ea415c18,search_nblk15_pop48_gen200__global_ea.json,15,48,200,global_ea,2876880.0,1.26025,1260250,232668160,223560704,4099914,"[15, 7, 6, 6, 6, 7, 7, 4, 15, 14, 6, 6, 7, 7, 3]","[2, 2, 2, 2, 2, 0, 0]",87.37
4f73bf15,search_nblk15_lpop40_lgen8__layer_ea.json,15,40,8,layer_ea,1901817.0,0.858426,858426,135703168,128908928,2977782,"[14, 7, 15, 4, 7, 6, 6, 5, 15, 15, 15, 7, 6, 14, 6]","[2, 2, 0, 2, 0, 1, 2]",
7296a544,search_nblk15_lpop16_lgen8__layer_ea.json,15,16,8,layer_ea,2325060.0,1.351146,1351146,190277832,182935752,3236153,"[6, 7, 14, 7, 12, 15, 15, 15, 14, 7, 4, 7, 15, 14, 7]","[2, 1, 0, 1, 2, 0, 2]",
2e6be930,search_nblk15_lpop20_lgen8__layer_ea.json,15,20,8,layer_ea,1667498.0,0.579594,579594,129668352,123102464,2880274,"[7, 13, 7, 15, 14, 5, 5, 14, 4, 14, 13, 7, 13, 14, 11]","[0, 2, 1, 2, 0, 0, 2]",
7011c224,search_nblk10_lpop40_lgen2__layer_ea.json,10,40,2,layer_ea,1359231.0,0.262874,262874,78042752,73062016,2151190,"[15, 14, 7, 6, 10, 15, 14, 12, 14, 15]","[1, 2, 0, 1, 2, 2, 2]",
b31d8e40,search_nblk15_pop10_gen100__global_ea.json,15,10,100,global_ea,2435181.0,0.692666,692666,157374208,150017792,3213114,"[7, 3, 14, 15, 15, 7, 15, 14, 5, 12, 15, 0, 4, 0, 14]","[0, 2, 2, 2, 1, 0, 1]",86.66
3dd0cddb,search_nblk15_lpop10_lgen8__layer_ea.json,15,10,8,layer_ea,2059347.0,1.234538,1234538,189472968,182591688,3113177,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13, 14, 15, 15, 14, 4]","[2, 1, 0, 1, 2, 2, 2]",
7bc22406,search_nblk5_lpop40_lgen4__layer_ea.json,5,40,4,layer_ea,1497185.0,0.100546,100546,71155360,65486496,2150800,"[6, 5, 15, 14, 15]","[1, 0, 2, 2, 2, 2, 2]",
4dc4c34e,search_nblk20_lpop40_lgen8__layer_ea.json,20,40,8,layer_ea,2266632.0,2.324586,2324586,211454848,203698048,3429542,"[14, 7, 15, 4, 7, 6, 6, 5, 15, 15, 15, 7, 6, 14, 6, 14, 6, 15, 11, 14]","[2, 2, 0, 2, 0, 1, 2]",
534c5fa6,search_nblk10_pop48_gen200__global_ea.json,10,48,200,global_ea,2353845.0,0.394682,394682,142973696,135699200,3113930,"[6, 15, 15, 15, 15, 15, 6, 6, 6, 6]","[2, 2, 2, 2, 2, 1, 2]",83.67
508ef08e,search_nblk15_lpop10_lgen2__layer_ea.json,15,10,2,layer_ea,2217498.0,1.099546,1099546,185602304,178548992,3199298,"[6, 6, 14, 6, 15, 15, 2, 1, 13, 5, 9, 4, 14, 13, 7]","[2, 2, 1, 2, 2, 2, 2]",
6f2dc697,search_nblk5_lpop40_lgen2__layer_ea.json,5,40,2,layer_ea,1271797.0,0.072826,72826,50061952,44450432,2158902,"[15, 14, 7, 6, 10]","[1, 2, 0, 2, 2, 2, 2]",
dc23619c,search_nblk20_lpop10_lgen4__layer_ea.json,20,10,4,layer_ea,2511809.0,2.083666,2083666,250659968,242156672,3812006,"[7, 12, 7, 6, 4, 13, 6, 7, 12, 15, 13, 7, 14, 12, 7, 4, 4, 8, 13, 12]","[2, 2, 1, 2, 2, 1, 0]",
0c676a93,search_nblk10_pop16_gen100__global_ea.json,10,16,100,global_ea,2009158.0,0.472778,472778,113769728,107412736,2704930,"[15, 7, 7, 7, 6, 14, 12, 15, 15, 4]","[2, 2, 1, 2, 1, 1, 1]",
54017f19,search_nblk10_pop48_gen50__global_ea.json,10,48,50,global_ea,2103303.0,0.30861,308610,111256320,104833792,2798538,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]",82.67
faf320cd,search_nblk5_pop32_gen50__global_ea.json,5,32,50,global_ea,2049118.0,0.106954,106954,66677120,60549504,2286198,"[5, 14, 15, 15, 7]","[0, 2, 1, 2, 1, 2, 1]",76.97
693c7020,search_nblk5_pop32_gen300__global_ea.json,5,32,300,global_ea,2126161.0,0.126714,126714,86583936,79948416,2572838,"[6, 7, 15, 14, 7]","[2, 2, 2, 2, 2, 1, 1]",
d7bd1c73,search_nblk10_lpop5_lgen8__layer_ea.json,10,5,8,layer_ea,1928471.0,0.189738,189738,84179456,78617088,2597394,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]",82.6
e578fed8,search_nblk10_pop16_gen50__global_ea.json,10,16,50,global_ea,1977370.0,0.415674,415674,117187200,110846592,2770166,"[14, 7, 7, 6, 6, 5, 12, 15, 13, 4]","[2, 2, 2, 2, 0, 2, 0]",
e4079a9b,search_nblk20_pop10_gen200__global_ea.json,20,10,200,global_ea,2858690.0,2.268138,2268138,300417792,291306240,4135274,"[5, 9, 14, 15, 4, 7, 12, 14, 6, 7, 15, 12, 7, 14, 14, 9, 8, 14, 4, 6]","[2, 2, 2, 2, 2, 2, 0]",
4ab3fc67,search_nblk20_lpop40_lgen2__layer_ea.json,20,40,2,layer_ea,2117155.0,2.182442,2182442,243022976,235239552,3465726,"[15, 14, 7, 6, 10, 15, 14, 12, 14, 15, 5, 15, 14, 7, 2, 10, 4, 14, 5, 12]","[1, 2, 0, 1, 2, 1, 2]",
ecab38f6,search_nblk20_lpop5_lgen4__layer_ea.json,20,5,4,layer_ea,2318320.0,1.809178,1809178,226760832,218886272,3560302,"[6, 14, 12, 15, 14, 6, 6, 0, 7, 13, 13, 14, 13, 15, 3, 8, 16, 7, 7, 2]","[2, 2, 1, 2, 2, 0, 2]",
766fd371,search_nblk10_pop32_gen100__global_ea.json,10,32,100,global_ea,2269979.0,0.434726,434726,124602368,118237184,2880458,"[6, 6, 6, 12, 6, 7, 7, 14, 15, 6]","[2, 1, 2, 2, 0, 1, 1]",85.27
3ccf9a01,search_nblk10_lpop10_lgen8__layer_ea.json,10,10,8,layer_ea,1477152.0,0.251978,251978,66961608,62312648,2044729,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13]","[2, 1, 0, 1, 2, 2, 2]",82.39
10962d5f,search_nblk20_pop16_gen200__global_ea.json,20,16,200,global_ea,2808522.0,2.560654,2560654,292692168,284221640,3856681,"[15, 2, 7, 4, 13, 15, 8, 7, 6, 14, 14, 6, 14, 6, 10, 14, 2, 4, 10, 15]","[0, 1, 2, 2, 2, 2, 0]",
ef450717,search_nblk20_lpop5_lgen2__layer_ea.json,20,5,2,layer_ea,2134505.0,2.05865,2058650,234920960,227089408,3641098,"[6, 14, 14, 14, 10, 10, 6, 10, 14, 6, 7, 3, 5, 7, 15, 6, 12, 7, 12, 7]","[2, 2, 2, 2, 2, 0, 1]",
cfaca493,search_nblk10_pop10_gen100__global_ea.json,10,10,100,global_ea,1886319.0,0.292594,292594,112652032,106876672,2536034,"[4, 13, 13, 15, 5, 14, 6, 6, 1, 6]","[1, 2, 2, 2, 0, 0, 1]",
3be0e15b,search_nblk15_pop48_gen300__global_ea.json,15,48,300,global_ea,2899902.0,1.715738,1715738,232426880,223837568,3823310,"[6, 6, 15, 6, 6, 15, 3, 6, 7, 12, 6, 7, 7, 7, 7]","[2, 2, 1, 2, 2, 2, 0]",87.14
dc723e5b,search_nblk15_pop16_gen200__global_ea.json,15,16,200,global_ea,2697947.0,0.970282,970282,203795968,195896832,3525634,"[7, 7, 13, 14, 15, 4, 6, 6, 14, 9, 11, 14, 7, 13, 10]","[2, 2, 2, 2, 2, 0, 0]",
45788d1f,search_nblk5_lpop20_lgen4__layer_ea.json,5,20,4,layer_ea,1656055.0,0.134906,134906,84513536,77943552,2466522,"[7, 14, 7, 15, 15]","[0, 2, 2, 2, 2, 2, 2]",
41df861c,search_nblk15_pop32_gen300__global_ea.json,15,32,300,global_ea,2808411.0,1.287578,1287578,235313664,226314752,3969826,"[15, 5, 14, 14, 7, 7, 15, 6, 15, 7, 6, 7, 3, 14, 12]","[2, 2, 2, 2, 2, 2, 2]",87.3
d0ba6daf,search_nblk5_lpop20_lgen2__layer_ea.json,5,20,2,layer_ea,1187475.0,0.080994,80994,62092416,57128064,1835318,"[13, 10, 13, 14, 13]","[0, 0, 2, 2, 2, 2, 2]",
9b6dc989,search_nblk5_lpop5_lgen12__layer_ea.json,5,5,12,layer_ea,1891859.0,0.085514,85514,63054464,57238144,2261302,"[6, 15, 4, 7, 12]","[2, 2, 1, 2, 2, 2, 2]",76.23
0413e762,search_nblk10_pop32_gen300__global_ea.json,10,32,300,global_ea,2296804.0,0.437114,437114,135004672,128254464,3032050,"[7, 14, 6, 6, 14, 7, 13, 6, 14, 15]","[2, 2, 2, 2, 1, 1, 2]",85.04
0a5cb5cc,search_nblk20_pop48_gen300__global_ea.json,20,48,300,global_ea,3061137.0,2.885338,2885338,311219328,301278336,4348718,"[15, 3, 7, 6, 14, 7, 6, 4, 9, 15, 15, 15, 7, 15, 7, 4, 11, 14, 8, 14]","[2, 2, 2, 2, 2, 2, 0]",88.29
cca73af8,search_nblk10_pop32_gen50__global_ea.json,10,32,50,global_ea,2269979.0,0.434726,434726,124602368,118237184,2880458,"[6, 6, 6, 12, 6, 7, 7, 14, 15, 6]","[2, 1, 2, 2, 0, 1, 1]",85.27
20189b39,search_nblk20_lpop10_lgen12__layer_ea.json,20,10,12,layer_ea,2641341.0,2.637722,2637722,286547232,277207328,4108540,"[7, 15, 14, 15, 15, 14, 14, 14, 13, 12, 6, 7, 7, 7, 4, 5, 4, 7, 10, 11]","[2, 0, 2, 2, 2, 1, 2]",
67ed9d64,search_nblk10_lpop16_lgen12__layer_ea.json,10,16,12,layer_ea,1671178.0,0.40661,406610,132069264,125400976,2888880,"[6, 15, 15, 7, 15, 14, 7, 13, 14, 14]","[2, 1, 2, 2, 2, 2, 2]",
de81ed08,search_nblk20_pop16_gen50__global_ea.json,20,16,50,global_ea,2767858.0,2.428906,2428906,264696576,256305920,3707338,"[15, 4, 7, 15, 7, 8, 2, 14, 7, 14, 4, 4, 7, 6, 10, 14, 5, 5, 8, 8]","[0, 2, 2, 2, 2, 2, 1]",
f9f04acb,search_nblk5_lpop5_lgen8__layer_ea.json,5,5,8,layer_ea,1879973.0,0.085386,85386,77998080,72001536,2473994,"[6, 6, 6, 4, 6]","[2, 2, 2, 2, 2, 2, 2]",73.92
2dc02a72,search_nblk5_lpop5_lgen4__layer_ea.json,5,5,4,layer_ea,1743994.0,0.088442,88442,70668416,64753792,2359486,"[6, 14, 12, 15, 14]","[2, 2, 1, 2, 2, 2, 2]",
e12ddc27,search_nblk15_pop48_gen100__global_ea.json,15,48,100,global_ea,2676111.0,1.31593,1315930,237905024,228584576,4100414,"[15, 7, 15, 6, 6, 7, 7, 6, 7, 13, 6, 14, 15, 7, 3]","[2, 2, 2, 2, 2, 0, 0]",
0626d3a6,search_nblk5_pop48_gen50__global_ea.json,5,48,50,global_ea,2050387.0,0.100986,100986,89356800,83065344,2572418,"[7, 6, 14, 14, 14]","[2, 2, 2, 0, 0, 1, 1]",
d1a90ada,search_nblk5_lpop20_lgen12__layer_ea.json,5,20,12,layer_ea,1807335.0,0.114602,114602,77655368,71540040,2306613,"[7, 7, 14, 15, 15]","[0, 1, 2, 2, 2, 2, 2]",
6653e9c5,search_nblk5_pop16_gen300__global_ea.json,5,16,300,global_ea,2167155.0,0.12825,128250,88156800,81521280,2572838,"[14, 7, 14, 15, 7]","[2, 2, 2, 2, 1, 1, 0]",80.14
362ecb17,search_nblk5_pop10_gen50__global_ea.json,5,10,50,global_ea,1956437.0,0.130314,130314,85654656,79117440,2474654,"[15, 7, 15, 4, 15]","[2, 2, 2, 0, 2, 1, 1]",
5ff043da,search_nblk10_lpop10_lgen4__layer_ea.json,10,10,4,layer_ea,1731087.0,0.454842,454842,105849984,100041856,2504046,"[7, 12, 7, 6, 4, 13, 6, 7, 12, 15]","[2, 2, 1, 2, 2, 2, 2]",
432f32fd,search_nblk10_lpop5_lgen12__layer_ea.json,10,5,12,layer_ea,1722825.0,0.32249,322490,92911232,87316096,2470918,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7]","[2, 2, 1, 1, 2, 2, 2]",
1102a5bf,search_nblk5_pop10_gen100__global_ea.json,5,10,100,global_ea,2073519.0,0.10889,108890,89577600,83302528,2507022,"[5, 14, 15, 14, 14]","[2, 2, 2, 0, 1, 0, 0]",
b01a0497,search_nblk10_pop16_gen300__global_ea.json,10,16,300,global_ea,2255452.0,0.463674,463674,118045824,111344768,2852446,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 0]","[2, 2, 2, 2, 0, 0, 1]",85.99
d883e830,search_nblk15_lpop16_lgen12__layer_ea.json,15,16,12,layer_ea,2835270.0,1.195858,1195858,251922320,243095440,4006000,"[6, 15, 15, 7, 15, 14, 7, 13, 14, 14, 7, 14, 14, 6, 5]","[2, 1, 2, 2, 2, 2, 2]",86.78
59241049,search_nblk5_pop10_gen200__global_ea.json,5,10,200,global_ea,2104654.0,0.128346,128346,90841216,84369536,2507262,"[13, 14, 15, 14, 15]","[2, 2, 2, 0, 2, 2, 0]",
bf311eff,search_nblk5_pop16_gen100__global_ea.json,5,16,100,global_ea,1985621.0,0.096554,96554,68516096,62519552,2326898,"[4, 12, 14, 15, 7]","[2, 2, 1, 0, 1, 0, 0]",
ef646916,search_nblk20_lpop20_lgen12__layer_ea.json,20,20,12,layer_ea,2312966.0,2.964954,2964954,243226696,234841160,3755157,"[7, 7, 14, 15, 15, 6, 7, 6, 2, 14, 6, 7, 6, 5, 15, 12, 13, 7, 6, 14]","[0, 1, 2, 0, 1, 2, 0]",
141798e7,search_nblk5_lpop10_lgen12__layer_ea.json,5,10,12,layer_ea,1652715.0,0.112698,112698,75496992,69475872,2253380,"[7, 15, 14, 15, 15]","[2, 0, 2, 2, 2, 2, 2]",
c9830f5c,search_nblk5_lpop10_lgen8__layer_ea.json,5,10,8,layer_ea,1611828.0,0.05825,58250,44355272,38960840,2117777,"[6, 6, 6, 7, 12]","[2, 1, 0, 2, 2, 2, 2]",72.33
4a322128,search_nblk10_pop10_gen200__global_ea.json,10,10,200,global_ea,2229107.0,0.451554,451554,132072832,125478272,2815422,"[12, 5, 15, 15, 14, 15, 14, 5, 12, 15]","[1, 2, 2, 2, 2, 1, 0]",
93f25ecd,search_nblk15_pop16_gen100__global_ea.json,15,16,100,global_ea,2624191.0,1.148906,1148906,232418816,223700480,3935234,"[7, 7, 13, 14, 15, 6, 6, 6, 14, 12, 12, 6, 7, 15, 10]","[2, 2, 2, 2, 2, 0, 0]",
b9a69a84,search_nblk5_pop32_gen200__global_ea.json,5,32,200,global_ea,2087119.0,0.11425,114250,74148224,67807616,2392694,"[14, 13, 15, 15, 15]","[2, 2, 1, 0, 2, 1, 0]",
0810e8fa,search_nblk15_lpop5_lgen12__layer_ea.json,15,5,12,layer_ea,1948927.0,0.64025,640250,123391616,117100160,2868710,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7, 14, 12, 5, 5, 6]","[2, 2, 1, 1, 0, 2, 2]",86.47
a4756eef,search_nblk10_lpop40_lgen12__layer_ea.json,10,40,12,layer_ea,1864964.0,0.306266,306266,117795968,111537280,2851726,"[14, 14, 15, 14, 14, 14, 7, 15, 6, 11]","[2, 2, 2, 1, 2, 2, 2]",
ce025c9a,search_nblk20_lpop16_lgen8__layer_ea.json,20,16,8,layer_ea,2038540.0,1.886666,1886666,221345992,213614792,3420873,"[6, 7, 14, 7, 12, 15, 15, 15, 14, 7, 4, 7, 15, 14, 7, 2, 4, 10, 5, 10]","[2, 1, 0, 1, 2, 0, 2]",
349d7f1d,search_nblk20_lpop40_lgen4__layer_ea.json,20,40,4,layer_ea,2027827.0,2.914418,2914418,247725728,239697568,3579808,"[6, 5, 15, 14, 15, 14, 7, 7, 15, 5, 7, 0, 14, 14, 10, 7, 3, 14, 6, 4]","[1, 0, 2, 2, 0, 2, 2]",
cf812f45,search_nblk20_lpop5_lgen12__layer_ea.json,20,5,12,layer_ea,2268946.0,2.55753,2557530,204267136,196941440,3336630,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7, 14, 12, 5, 5, 6, 2, 12, 4, 5, 15]","[2, 2, 1, 1, 0, 2, 1]",88.01
48648fd9,search_nblk15_lpop10_lgen12__layer_ea.json,15,10,12,layer_ea,2305478.0,1.425962,1425962,234304032,225711648,3779060,"[7, 15, 14, 15, 15, 14, 14, 14, 13, 12, 6, 7, 7, 7, 4]","[2, 0, 2, 2, 2, 1, 2]",
16bb8890,search_nblk15_lpop5_lgen4__layer_ea.json,15,5,4,layer_ea,2187790.0,1.091178,1091178,195262592,187818112,3374782,"[6, 14, 12, 15, 14, 6, 6, 0, 7, 13, 13, 14, 13, 15, 3]","[2, 2, 1, 2, 2, 0, 2]",
799358ee,search_nblk15_lpop40_lgen2__layer_ea.json,15,40,2,layer_ea,2040507.0,1.134602,1134602,183188096,176152192,3106726,"[15, 14, 7, 6, 10, 15, 14, 12, 14, 15, 5, 15, 14, 7, 2]","[1, 2, 0, 1, 2, 1, 2]",
859e4854,search_nblk20_lpop20_lgen4__layer_ea.json,20,20,4,layer_ea,2135032.0,1.381714,1381714,206170624,197355008,3775938,"[7, 14, 7, 15, 15, 7, 15, 7, 7, 2, 14, 15, 14, 15, 6, 4, 12, 16, 8, 10]","[0, 2, 2, 1, 1, 1, 0]",86.48
ddd67b9e,search_nblk20_pop48_gen100__global_ea.json,20,48,100,global_ea,2938488.0,2.36521,2365210,283944064,274953344,4063230,"[7, 14, 7, 6, 14, 7, 6, 9, 8, 14, 12, 15, 14, 15, 4, 4, 5, 14, 8, 9]","[0, 2, 2, 2, 2, 2, 1]",86.99
242a0c94,search_nblk5_lpop20_lgen8__layer_ea.json,5,20,8,layer_ea,1931139.0,0.099866,99866,66800896,60689664,2318866,"[7, 13, 7, 15, 14]","[0, 2, 1, 2, 2, 2, 2]",
e470b0bf,search_nblk10_pop32_gen200__global_ea.json,10,32,200,global_ea,2269979.0,0.434726,434726,124602368,118237184,2880458,"[6, 6, 6, 12, 6, 7, 7, 14, 15, 6]","[2, 1, 2, 2, 0, 1, 1]",
7f43542a,search_nblk10_lpop20_lgen12__layer_ea.json,10,20,12,layer_ea,1395350.0,0.20049,200490,83883336,78210376,2454309,"[7, 7, 14, 15, 15, 6, 7, 6, 2, 14]","[0, 1, 2, 0, 2, 2, 2]",82.58
23d2c575,search_nblk15_lpop5_lgen2__layer_ea.json,15,5,2,layer_ea,2210119.0,1.21641,1216410,195471360,188305408,3337818,"[6, 14, 14, 14, 10, 10, 6, 10, 14, 6, 7, 3, 5, 7, 15]","[2, 2, 2, 2, 2, 0, 2]",
663aba98,search_nblk20_pop48_gen200__global_ea.json,20,48,200,global_ea,3061137.0,2.885338,2885338,311219328,301278336,4348718,"[15, 3, 7, 6, 14, 7, 6, 4, 9, 15, 15, 15, 7, 15, 7, 4, 11, 14, 8, 14]","[2, 2, 2, 2, 2, 2, 0]",88.29
30505cc1,search_nblk10_lpop20_lgen4__layer_ea.json,10,20,4,layer_ea,1614917.0,0.380506,380506,106120960,99387136,2746250,"[7, 14, 7, 15, 15, 7, 15, 7, 7, 2]","[0, 2, 2, 1, 2, 2, 2]",
77adfe2d,search_nblk10_pop10_gen300__global_ea.json,10,10,300,global_ea,2229107.0,0.451554,451554,132072832,125478272,2815422,"[12, 5, 15, 15, 14, 15, 14, 5, 12, 15]","[1, 2, 2, 2, 2, 1, 0]",
c4c4983e,search_nblk5_pop16_gen200__global_ea.json,5,16,200,global_ea,2167155.0,0.12825,128250,88156800,81521280,2572838,"[14, 7, 14, 15, 7]","[2, 2, 2, 2, 1, 1, 0]",80.14
8a2fe1a1,search_nblk20_pop32_gen50__global_ea.json,20,32,50,global_ea,2700414.0,2.140586,2140586,273532416,264803840,3966874,"[15, 12, 14, 6, 14, 7, 4, 4, 6, 15, 13, 14, 5, 15, 2, 0, 12, 6, 4, 5]","[2, 1, 2, 2, 2, 1, 2]",
