id,filename,n_blocks,samples,seed,mode,fitness,params_mb,params,flops,total_conv_fc_flops,acts,op_codes,width_codes
34f64f12,random_run_nblk5_samples500_seed0.json,5,500,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
dbb066b8,random_run_nblk5_samples500_seed1.json,5,500,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
510c8abc,random_run_nblk5_samples500_seed2.json,5,500,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
2eeb0707,random_run_nblk5_samples600_seed0.json,5,600,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
3729fd46,random_run_nblk5_samples600_seed1.json,5,600,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
f1233da4,random_run_nblk5_samples600_seed2.json,5,600,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
2c9ffac2,random_run_nblk5_samples640_seed0.json,5,640,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
1658397c,random_run_nblk5_samples640_seed1.json,5,640,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
eefe28b4,random_run_nblk5_samples640_seed2.json,5,640,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
242991b0,random_run_nblk5_samples800_seed0.json,5,800,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
34d02372,random_run_nblk5_samples800_seed1.json,5,800,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
2ccd837b,random_run_nblk5_samples800_seed2.json,5,800,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
7e3f68cb,random_run_nblk5_samples960_seed0.json,5,960,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
16687cff,random_run_nblk5_samples960_seed1.json,5,960,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
ffc6512a,random_run_nblk5_samples960_seed2.json,5,960,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
5f46b754,random_run_nblk5_samples1000_seed0.json,5,1000,0,random,1798967.0,0.092426,92426,59673344,53922560,2154986,"[4, 4, 15, 5, 7]","[0, 2, 1, 1, 0, 2, 0]"
b9f921fc,random_run_nblk5_samples1000_seed1.json,5,1000,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
9ef03032,random_run_nblk5_samples1000_seed2.json,5,1000,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
cdfcea1f,random_run_nblk5_samples1200_seed0.json,5,1200,0,random,1895792.0,0.090098,90098,69958144,64387584,2146594,"[7, 0, 4, 6, 13]","[0, 2, 2, 0, 2, 2, 2]"
e4b285c3,random_run_nblk5_samples1200_seed1.json,5,1200,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
b383779d,random_run_nblk5_samples1200_seed2.json,5,1200,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
238cd26b,random_run_nblk5_samples1600_seed0.json,5,1600,0,random,1908231.0,0.093418,93418,65304832,59259136,2351474,"[6, 14, 6, 7, 15]","[0, 2, 1, 1, 1, 2, 2]"
a1a0ad48,random_run_nblk5_samples1600_seed1.json,5,1600,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
9698b407,random_run_nblk5_samples1600_seed2.json,5,1600,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
88192057,random_run_nblk5_samples2000_seed0.json,5,2000,0,random,1908231.0,0.093418,93418,65304832,59259136,2351474,"[6, 14, 6, 7, 15]","[0, 2, 1, 1, 1, 2, 2]"
bf9c61eb,random_run_nblk5_samples2000_seed1.json,5,2000,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
683269a8,random_run_nblk5_samples2000_seed2.json,5,2000,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
57c0df4b,random_run_nblk5_samples2400_seed0.json,5,2400,0,random,1908231.0,0.093418,93418,65304832,59259136,2351474,"[6, 14, 6, 7, 15]","[0, 2, 1, 1, 1, 2, 2]"
78fe58fa,random_run_nblk5_samples2400_seed1.json,5,2400,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
da102c9f,random_run_nblk5_samples2400_seed2.json,5,2400,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
f4947e0c,random_run_nblk5_samples3000_seed0.json,5,3000,0,random,1908231.0,0.093418,93418,65304832,59259136,2351474,"[6, 14, 6, 7, 15]","[0, 2, 1, 1, 1, 2, 2]"
cba842c5,random_run_nblk5_samples3000_seed1.json,5,3000,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
71709a04,random_run_nblk5_samples3000_seed2.json,5,3000,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
db06da42,random_run_nblk5_samples3200_seed0.json,5,3200,0,random,1908231.0,0.093418,93418,65304832,59259136,2351474,"[6, 14, 6, 7, 15]","[0, 2, 1, 1, 1, 2, 2]"
2ef4275a,random_run_nblk5_samples3200_seed1.json,5,3200,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
6f44b816,random_run_nblk5_samples3200_seed2.json,5,3200,2,random,1902541.0,0.123514,123514,85344928,78840480,2519560,"[6, 7, 6, 15, 15]","[1, 2, 2, 2, 1, 0, 2]"
50103b6c,random_run_nblk5_samples4800_seed0.json,5,4800,0,random,2040715.0,0.118842,118842,80069792,73794720,2388528,"[11, 7, 15, 6, 7]","[1, 2, 2, 2, 1, 0, 2]"
8a9b0fdc,random_run_nblk5_samples4800_seed1.json,5,4800,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
bca83ee5,random_run_nblk5_samples4800_seed2.json,5,4800,2,random,1935318.0,0.100138,100138,67079424,60951808,2327058,"[15, 11, 14, 7, 7]","[2, 2, 1, 2, 2, 0, 2]"
fb39484e,random_run_nblk5_samples6400_seed0.json,5,6400,0,random,2040715.0,0.118842,118842,80069792,73794720,2388528,"[11, 7, 15, 6, 7]","[1, 2, 2, 2, 1, 0, 2]"
cae70862,random_run_nblk5_samples6400_seed1.json,5,6400,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
79b02d2c,random_run_nblk5_samples6400_seed2.json,5,6400,2,random,1935318.0,0.100138,100138,67079424,60951808,2327058,"[15, 11, 14, 7, 7]","[2, 2, 1, 2, 2, 0, 2]"
a751d924,random_run_nblk5_samples9600_seed0.json,5,9600,0,random,2040715.0,0.118842,118842,80069792,73794720,2388528,"[11, 7, 15, 6, 7]","[1, 2, 2, 2, 1, 0, 2]"
d5ec7a2b,random_run_nblk5_samples9600_seed1.json,5,9600,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
9eb861c5,random_run_nblk5_samples9600_seed2.json,5,9600,2,random,1954311.0,0.085322,85322,66344192,60527872,2285818,"[4, 15, 15, 14, 6]","[0, 2, 1, 1, 1, 1, 2]"
4dd63ef7,random_run_nblk5_samples14400_seed0.json,5,14400,0,random,2040715.0,0.118842,118842,80069792,73794720,2388528,"[11, 7, 15, 6, 7]","[1, 2, 2, 2, 1, 0, 2]"
df9e058b,random_run_nblk5_samples14400_seed1.json,5,14400,1,random,2042838.0,0.078394,78394,53734016,47819392,2277766,"[13, 7, 15, 6, 6]","[2, 2, 0, 1, 0, 2, 0]"
1d3b146b,random_run_nblk5_samples14400_seed2.json,5,14400,2,random,1954311.0,0.085322,85322,66344192,60527872,2285818,"[4, 15, 15, 14, 6]","[0, 2, 1, 1, 1, 1, 2]"
eef44fab,random_run_nblk10_samples100_seed0.json,10,100,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
ab64584f,random_run_nblk10_samples100_seed1.json,10,100,1,random,1469905.0,0.280978,280978,95893792,90757408,2253800,"[14, 10, 9, 6, 7, 14, 5, 11, 9, 13]","[2, 2, 2, 2, 2, 2, 0]"
5d09f720,random_run_nblk10_samples100_seed2.json,10,100,2,random,1506097.0,0.21657,216570,86183936,81039360,2326938,"[2, 2, 6, 6, 4, 7, 5, 14, 4, 10]","[2, 2, 2, 1, 0, 2, 1]"
85d1512d,random_run_nblk10_samples200_seed0.json,10,200,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
46cbc466,random_run_nblk10_samples200_seed1.json,10,200,1,random,1470016.0,0.431562,431562,101577344,96252544,2246038,"[5, 4, 15, 13, 3, 6, 16, 15, 15, 2]","[2, 2, 2, 2, 0, 2, 1]"
5883a2c3,random_run_nblk10_samples200_seed2.json,10,200,2,random,1583981.0,0.325642,325642,99010592,94201888,2204308,"[0, 9, 6, 0, 14, 6, 6, 11, 10, 15]","[0, 2, 2, 2, 0, 2, 0]"
c36f9c82,random_run_nblk10_samples320_seed0.json,10,320,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
b124d7ba,random_run_nblk10_samples320_seed1.json,10,320,1,random,1591337.0,0.337184,337184,97127600,91911344,2235330,"[5, 7, 13, 1, 6, 13, 6, 12, 15, 8]","[2, 1, 2, 2, 0, 0, 1]"
aefec1b8,random_run_nblk10_samples320_seed2.json,10,320,2,random,1583981.0,0.325642,325642,99010592,94201888,2204308,"[0, 9, 6, 0, 14, 6, 6, 11, 10, 15]","[0, 2, 2, 2, 0, 2, 0]"
4079a062,random_run_nblk10_samples400_seed0.json,10,400,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
ab7ed648,random_run_nblk10_samples400_seed1.json,10,400,1,random,1702750.0,0.434682,434682,101314048,95657472,2401906,"[14, 6, 14, 3, 15, 15, 7, 7, 9, 7]","[1, 2, 1, 2, 2, 2, 1]"
42f3d84a,random_run_nblk10_samples400_seed2.json,10,400,2,random,1592893.0,0.210538,210538,78225152,73199360,2122658,"[14, 10, 15, 5, 7, 4, 11, 10, 5, 9]","[1, 2, 2, 1, 1, 1, 0]"
47b960ed,random_run_nblk10_samples500_seed0.json,10,500,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
566b9298,random_run_nblk10_samples500_seed1.json,10,500,1,random,1702750.0,0.434682,434682,101314048,95657472,2401906,"[14, 6, 14, 3, 15, 15, 7, 7, 9, 7]","[1, 2, 1, 2, 2, 2, 1]"
604dd6f3,random_run_nblk10_samples500_seed2.json,10,500,2,random,1592893.0,0.210538,210538,78225152,73199360,2122658,"[14, 10, 15, 5, 7, 4, 11, 10, 5, 9]","[1, 2, 2, 1, 1, 1, 0]"
a8ace3cc,random_run_nblk10_samples600_seed0.json,10,600,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
5a893ffb,random_run_nblk10_samples600_seed1.json,10,600,1,random,1766209.0,0.278618,278618,98407680,92509440,2442146,"[7, 3, 15, 15, 7, 5, 16, 14, 14, 14]","[2, 2, 2, 1, 0, 1, 2]"
4a2538b6,random_run_nblk10_samples600_seed2.json,10,600,2,random,1592893.0,0.210538,210538,78225152,73199360,2122658,"[14, 10, 15, 5, 7, 4, 11, 10, 5, 9]","[1, 2, 2, 1, 1, 1, 0]"
25c36156,random_run_nblk10_samples640_seed0.json,10,640,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
d939ee2b,random_run_nblk10_samples640_seed1.json,10,640,1,random,1766209.0,0.278618,278618,98407680,92509440,2442146,"[7, 3, 15, 15, 7, 5, 16, 14, 14, 14]","[2, 2, 2, 1, 0, 1, 2]"
fe818ec1,random_run_nblk10_samples640_seed2.json,10,640,2,random,1592893.0,0.210538,210538,78225152,73199360,2122658,"[14, 10, 15, 5, 7, 4, 11, 10, 5, 9]","[1, 2, 2, 1, 1, 1, 0]"
fcab1fdf,random_run_nblk10_samples800_seed0.json,10,800,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
53ef5a53,random_run_nblk10_samples800_seed1.json,10,800,1,random,1766209.0,0.278618,278618,98407680,92509440,2442146,"[7, 3, 15, 15, 7, 5, 16, 14, 14, 14]","[2, 2, 2, 1, 0, 1, 2]"
de30889a,random_run_nblk10_samples800_seed2.json,10,800,2,random,1674864.0,0.298606,298606,105062528,100032640,2277886,"[2, 8, 15, 8, 6, 14, 14, 0, 13, 14]","[1, 2, 2, 2, 2, 1, 0]"
5fcbde02,random_run_nblk10_samples1000_seed0.json,10,1000,0,random,1691477.0,0.313182,313182,107170376,101882440,2319121,"[0, 9, 14, 13, 12, 7, 7, 14, 11, 4]","[1, 2, 2, 2, 0, 0, 2]"
34611370,random_run_nblk10_samples1000_seed1.json,10,1000,1,random,1766209.0,0.278618,278618,98407680,92509440,2442146,"[7, 3, 15, 15, 7, 5, 16, 14, 14, 14]","[2, 2, 2, 1, 0, 1, 2]"
472d9586,random_run_nblk10_samples1000_seed2.json,10,1000,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
3f80dac2,random_run_nblk10_samples1200_seed0.json,10,1200,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
cb12d29a,random_run_nblk10_samples1200_seed1.json,10,1200,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
94f5897a,random_run_nblk10_samples1200_seed2.json,10,1200,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
1cb989f9,random_run_nblk10_samples1280_seed0.json,10,1280,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
d0f9270d,random_run_nblk10_samples1280_seed1.json,10,1280,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
5e4ce825,random_run_nblk10_samples1280_seed2.json,10,1280,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
7f07e9d6,random_run_nblk10_samples1600_seed0.json,10,1600,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
7359e05b,random_run_nblk10_samples1600_seed1.json,10,1600,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
4c33db50,random_run_nblk10_samples1600_seed2.json,10,1600,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
87a80be7,random_run_nblk10_samples1920_seed0.json,10,1920,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
22de43d9,random_run_nblk10_samples1920_seed1.json,10,1920,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
f24e7989,random_run_nblk10_samples1920_seed2.json,10,1920,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
f99a9c90,random_run_nblk10_samples2000_seed0.json,10,2000,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
7307f713,random_run_nblk10_samples2000_seed1.json,10,2000,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
20d90cf6,random_run_nblk10_samples2000_seed2.json,10,2000,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
a499581e,random_run_nblk10_samples2400_seed0.json,10,2400,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
7cdfa73f,random_run_nblk10_samples2400_seed1.json,10,2400,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
1886c2d9,random_run_nblk10_samples2400_seed2.json,10,2400,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
0310b1da,random_run_nblk10_samples3000_seed0.json,10,3000,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
aed223cb,random_run_nblk10_samples3000_seed1.json,10,3000,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
69363043,random_run_nblk10_samples3000_seed2.json,10,3000,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
b4473468,random_run_nblk10_samples3200_seed0.json,10,3200,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
e409acdd,random_run_nblk10_samples3200_seed1.json,10,3200,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
09ffd43a,random_run_nblk10_samples3200_seed2.json,10,3200,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
e323bf6b,random_run_nblk10_samples4800_seed0.json,10,4800,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
cfe41a53,random_run_nblk10_samples4800_seed1.json,10,4800,1,random,1842014.0,0.422874,422874,111809280,105534208,2614938,"[7, 15, 6, 11, 15, 7, 6, 3, 13, 7]","[0, 2, 2, 2, 0, 0, 0]"
4af9bdc9,random_run_nblk10_samples4800_seed2.json,10,4800,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
8e81c9db,random_run_nblk10_samples6400_seed0.json,10,6400,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
5f8608c8,random_run_nblk10_samples6400_seed1.json,10,6400,1,random,1859173.0,0.511162,511162,133949568,127215744,2901518,"[13, 5, 6, 15, 14, 7, 12, 7, 15, 14]","[2, 2, 2, 2, 2, 1, 2]"
8fb55505,random_run_nblk10_samples6400_seed2.json,10,6400,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
ada67f17,random_run_nblk10_samples9600_seed0.json,10,9600,0,random,1902048.0,0.284978,284978,97701704,91799368,2556829,"[7, 13, 15, 6, 15, 6, 12, 6, 4, 7]","[1, 1, 2, 1, 2, 1, 2]"
f4f6ac48,random_run_nblk10_samples9600_seed1.json,10,9600,1,random,1859173.0,0.511162,511162,133949568,127215744,2901518,"[13, 5, 6, 15, 14, 7, 12, 7, 15, 14]","[2, 2, 2, 2, 2, 1, 2]"
28b03640,random_run_nblk10_samples9600_seed2.json,10,9600,2,random,1922720.0,0.40793,407930,110463648,104336032,2569752,"[6, 7, 6, 15, 15, 5, 11, 5, 15, 10]","[1, 2, 2, 2, 1, 0, 2]"
